Rows: 2
Key: place_geoid, era complete and unique
Saved-file MD5: 5929e599e25544199bdfb6377aba1fd5
column	type	nonmissing	distinct	min	max
place_geoid	integer	2	2	1714000	3651000
era	character	2	1	NA	NA
city_name	character	2	2	NA	NA
tract_years	integer	2	2	32460	79523
homeowner_tract_years	integer	2	2	32091	77409
common_tract_years	integer	2	2	31818	77141
common_zero_project_tract_years	integer	2	2	31671	76449
matched_projects	integer	2	2	174	824
homeowner_projects	integer	2	2	173	822
common_projects	integer	2	2	172	819
projects_missing_homeownership	integer	2	2	1	2
projects_missing_black_share	integer	2	2	1	2
projects_missing_income	integer	2	2	2	5
interior_common_projects	integer	2	2	170	762
housing_unit_years	integer	2	2	45800398	114840305
mean_baseline_age_at_projects	numeric	2	2	3.56166056166056	4.96511627906977
dated_projects	integer	2	2	174	824
