Rows: 51
Key: state complete and unique
Saved-file MD5: 98bc30233bacf6cf5f44249cf1b802a4
column	type	nonmissing	distinct	min	max
state	character	51	51	NA	NA
hud_records	integer	51	49	133	5185
type_unknown	integer	51	45	0	1052
new_records	integer	51	51	43	3238
new_units	integer	51	51	1828	247083
new_units_known	integer	51	51	43	3238
hud_coordinate_records	integer	51	51	43	3206
drop_no_hud	integer	51	32	0	70
first_address_records	integer	51	50	43	3131
first_address_units	integer	51	51	1828	240091
first_address_units_known	integer	51	50	43	3131
first_omitted_uncertain_order	integer	51	8	0	25
first_omitted_later	integer	51	27	0	48
first_omitted_same_year	integer	51	21	0	175
selected_records	integer	51	51	43	3206
selected_units	integer	51	51	1828	245045
year_known	integer	51	50	43	3189
units_known	integer	51	51	43	3206
low_income_units_known	integer	51	50	43	3197
bedrooms_known	integer	51	49	37	2118
family_known	integer	51	49	14	2361
elderly_known	integer	51	51	9	1119
disabled_known	integer	51	50	0	1180
year_units_known	integer	51	50	43	3189
year_units_bedrooms_known	integer	51	49	37	2032
all_controls_known	integer	51	46	0	683
unresolved_addresses	integer	51	26	0	221
scattered_records	integer	51	18	0	120
resyndicated_records	integer	51	9	0	58
repeated_address_records	integer	51	37	0	424
state_name	character	51	51	NA	NA
type_missing_pct	numeric	51	50	0	77.7531411677753
coordinates_missing_pct	numeric	51	50	0	18.2203389830508
first_address_reduction_pct	numeric	51	50	0	14.1176470588235
year_missing_pct	numeric	51	25	0	16.1172161172161
units_missing_pct	numeric	51	12	0	3.98613518197574
bedrooms_missing_pct	numeric	51	51	1.1070110701107	85.5913978494624
all_controls_missing_pct	numeric	51	50	5.61224489795918	100
expected_locations	numeric	51	51	41.8989623435588	3162.48385707066
expected_controls	numeric	51	51	12.6687530417885	916.920609089074
excess_coordinate_loss_pp	numeric	51	51	-3.04060924990817	14.1041471927546
excess_controls_loss_pp	numeric	51	51	-67.5672519907197	28.9621415848066
