Rows: 1326034
Key: source, period_end, tract_geoid complete and unique
Saved-file MD5: 90a46c73701b0a7a78e2433fb5ab875d
column	type	nonmissing	distinct	min	max
gisjoin	character	173429	121442	NA	NA
state_fips	integer	1326034	51	1	56
tract_name	character	1152605	180329	NA	NA
tract_geoid	integer64	1326034	128764	1001020100	56045999999
source	character	1326034	2	NA	NA
period_start	integer	1326034	18	1980	2020
period_end	integer	1326034	18	1980	2024
geography_vintage	integer	1326034	18	1980	2024
income_dollar_year	integer	1326034	18	1979	2024
housing_dollar_year	integer	1326034	18	1980	2024
population	integer	1326034	16050	0	72041
housing_units	integer	1326034	7780	0	32397
nh_white	integer	1326034	12334	0	55864
nh_black	integer	1326034	7528	0	18936
nh_asian	integer	1218048	5395	0	19898
nh_asian_pacific_islander	integer	61258	1872	0	10636
hispanic	integer	1326034	9230	0	34439
owner_occupied	integer	1324323	5362	0	22271
renter_occupied	integer	1324323	4423	0	9826
poverty_universe	integer	1324153	15857	0	71858
poverty_count	integer	1324153	4654	0	11339
population_25_plus	integer	1324162	11072	0	51009
college_graduates	integer	1324162	6469	0	27163
median_household_income_raw	numeric	1325953	139759	-666666666	250001
median_gross_rent_raw	integer	1325565	3423	-666666666	3501
median_home_value_raw	numeric	1278961	16422	-666666666	2000001
education_definition	character	1326034	2	NA	NA
race_definition	character	1326034	3	NA	NA
income_suppressed	logical	173429	3	NA	NA
rent_suppressed	logical	173429	3	NA	NA
occupied_units	integer	1324323	6770	0	29283
rent_universe	character	1326034	2	NA	NA
home_value_universe	character	1326034	2	NA	NA
median_household_income	numeric	1301768	139752	2500	250000
median_household_income_annotation	character	24185	8	NA	NA
median_gross_rent	integer	1232674	3420	80	3500
median_gross_rent_annotation	character	92891	9	NA	NA
median_home_value	numeric	1234324	16415	10000	2e+06
median_home_value_annotation	character	44637	8	NA	NA
census_sentinel_cells	integer	1152605	8	0	6
population_moe	integer	1150679	2587	1	13185
nh_white_moe	integer	1152605	2082	1	7121
nh_black_moe	integer	1152605	1926	1	3652
nh_asian_moe	integer	1152605	1441	1	2916
hispanic_moe	integer	1151963	2186	1	4523
median_household_income_moe	integer	1133073	53789	104	513260
occupied_units_moe	integer	1152605	910	1	3901
owner_occupied_moe	integer	1152605	856	1	2854
renter_occupied_moe	integer	1152605	809	1	1523
housing_units_moe	integer	1152605	904	2	3865
poverty_universe_moe	integer	1152596	2526	1	6434
poverty_count_moe	integer	1152596	1808	1	3481
median_gross_rent_moe	integer	1092750	2524	2	3772
median_home_value_moe	integer	1112976	134900	265	2000850
population_25_plus_moe	integer	1152588	1739	1	4331
male_bachelors	integer	146113	1478	0	3855
male_bachelors_moe	integer	146113	398	1	697
male_masters	integer	146113	869	0	1742
male_masters_moe	integer	146113	297	1	786
male_professional	integer	146113	564	0	1054
male_professional_moe	integer	146113	210	2	702
male_doctorate	integer	146113	438	0	952
male_doctorate_moe	integer	146113	186	1	262
female_bachelors	integer	146113	1509	0	3423
female_bachelors_moe	integer	146113	396	1	782
female_masters	integer	146113	888	0	1959
female_masters_moe	integer	146113	298	1	917
female_professional	integer	146113	411	0	749
female_professional_moe	integer	146113	202	1	255
female_doctorate	integer	146113	301	0	506
female_doctorate_moe	integer	146113	170	1	238
college_graduates_moe	numeric	1152605	188530	9.48683298050514	2570.23481417555
bachelors	integer	1006492	4113	0	14308
bachelors_moe	integer	1006492	1120	1	2555
masters	integer	1006492	2518	0	9521
masters_moe	integer	1006492	879	1	1653
professional	integer	1006492	1197	0	2756
professional_moe	integer	1006492	622	1	1121
doctorate	integer	1006492	967	0	2362
doctorate_moe	integer	1006492	579	1	1070
share_conflict_count	integer	1326034	1	0	0
nh_white_share	numeric	1313656	1116661	0	1
nh_black_share	numeric	1313656	822126	0	1
nh_asian_share	numeric	1207297	592054	0	1
nh_asian_pacific_islander_share	numeric	59890	39537	0	1
hispanic_share	numeric	1313656	918793	0	1
homeowner_share	numeric	1308051	722270	0	1
poverty_share	numeric	1308946	977586	0	1
college_share	numeric	1311496	938498	0	1
vacant_units	integer	1324323	4086	0	22711
vacancy_share	numeric	1308456	497958	0	1
income_factor_to_2024	numeric	1326034	18	1	3.77489177489178
housing_factor_to_2024	numeric	1326034	18	1	3.39961013645224
median_household_income_2024	numeric	1301768	739517	3178.54195323247	348467.472616633
median_household_income_2024_moe	numeric	1133073	354314	119.40487162607	691216.555984558
median_gross_rent_2024	numeric	1232674	40584	132.338823529412	4508.12407680947
median_gross_rent_2024_moe	numeric	1092750	22639	2.1320293398533	5079.82084942086
median_home_value_2024	numeric	1234324	143650	10669.1764705883	2553440.70278184
median_home_value_2024_moe	numeric	1112976	609651	317.854195323247	2778250.31847133
real_dollar_year	integer	1326034	1	2024	2024
price_index_geography	character	1326034	1	NA	NA
price_index_series	character	1326034	1	NA	NA
boundary_year	integer	1326034	6	1980	2024
