National tracts: 84401
Archive MD5: 8e4f27d9faaa9a6a96fa8a6c85a543e5
     state tracts
    <char>  <int>
 1:     01   1437
 2:     02    177
 3:     04   1765
 4:     05    823
 5:     06   9129
 6:     08   1447
 7:     09    884
 8:     10    262
 9:     11    206
10:     12   5160
11:     13   2796
12:     15    461
13:     16    456
14:     17   3265
15:     18   1696
16:     19    896
17:     20    829
18:     21   1306
19:     22   1388
20:     23    407
21:     24   1475
22:     25   1620
23:     26   3017
24:     27   1505
25:     28    878
26:     29   1654
27:     30    319
28:     31    553
29:     32    779
30:     33    350
31:     34   2181
32:     35    612
33:     36   5397
34:     37   2672
35:     38    228
36:     39   3168
37:     40   1205
38:     41   1001
39:     42   3446
40:     44    250
41:     45   1323
42:     46    242
43:     47   1701
44:     48   6896
45:     49    716
46:     50    193
47:     51   2198
48:     53   1784
49:     54    546
50:     55   1542
51:     56    160
     state tracts
