review_index,candidate_group_id,current_development_id,current_development_anchor_hud_id,hud_id,project,proj_add,proj_cty,proj_st,state_id,yr_pis,yr_alloc,n_unitsr,li_unitr,final_decision,final_reason_code,member_action,name_adjudicated_development_id,name_adjudicated_development_anchor_hud_id
1,NVAR_0004,DEV_CAA20130072,CAA20130072,CAA20130072,PASEO VERDE FAMILY APTS III,10050 JUNIPER AVE,FONTANA,CA,CA-11-121,2013,2011,46,46,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20130072,CAA20130072
1,NVAR_0004,DEV_CAA20138489,CAA20138489,CAA20138489,PASEO VERDE III FAMILY APTS,10050 JUNIPER AVE,FONTANA,CA,CA-11-121,2013,2011,46,46,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20130072,CAA20130072
2,NVAR_0005,DEV_CAA20141069,CAA20141069,CAA20141069,RIO VISTA APARTMENTS,1515 N. SAN FERNANDO ROAD,LOS ANGELES,CA,CA-12-086,2014,2012,87,86,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141069,CAA20141069
2,NVAR_0005,DEV_CAA20147500,CAA20147500,CAA20147500,RIO VISTA APTS (LOS ANGELES),1515 N SAN FERNANDO RD,LOS ANGELES,CA,CA-12-086,2014,2012,87,86,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141069,CAA20141069
3,NVAR_0006,DEV_CAA20141005,CAA20141005,CAA20141005,AVALON APARTMENTS,13218 AVALON BLVD.,LOS ANGELES,CA,CA-12-128,2014,2012,55,54,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141005,CAA20141005
3,NVAR_0006,DEV_CAA20147467,CAA20147467,CAA20147467,AVALON APTS (LOS ANGELES),13218 AVALON BLVD,LOS ANGELES,CA,CA-12-128,2014,2012,55,54,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141005,CAA20141005
4,NVAR_0007,DEV_CAA20141050,CAA20141050,CAA20141050,MESA COMMONS APARTMENTS,6470 EL CAJON BLVD.,SAN DIEGO,CA,CA-12-197,2014,2012,78,77,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141050,CAA20141050
4,NVAR_0007,DEV_CAA20147492,CAA20147492,CAA20147492,MESA COMMONS APTS,6470 EL CAJON BLVD,SAN DIEGO,CA,CA-12-197,2014,2012,78,77,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141050,CAA20141050
5,NVAR_0008,DEV_CAA20141008,CAA20141008,CAA20141008,BESWICK SENIOR APARTMENTS,3553 BESWICK STREET,LOS ANGELES,CA,CA-12-208,2014,2012,33,32,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141008,CAA20141008
5,NVAR_0008,DEV_CAA20147470,CAA20147470,CAA20147470,BESWICK SENIOR APTS,3553 BESWICK ST,LOS ANGELES,CA,CA-12-208,2014,2012,33,32,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141008,CAA20141008
6,NVAR_0009,DEV_CAA20141074,CAA20141074,CAA20141074,SEQUOIA MANOR,40789 FREMONT BLVD.,FREMONT,CA,CA-12-867,2014,2012,81,80,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141074,CAA20141074
6,NVAR_0009,DEV_CAA20147503,CAA20147503,CAA20147503,SEQUIOA MANNER,40789 FREMONT BLVD,FREMONT,CA,CA-12-867,2014,2012,81,80,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141074,CAA20141074
7,NVAR_0010,DEV_CAA20141097,CAA20141097,CAA20141097,WAGON WHEEL FAMILY APARTMENTS,510 WINCHESTER DRIVE,OXNARD,CA,CA-12-869,2014,2012,120,119,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141097,CAA20141097
7,NVAR_0010,DEV_CAA20147514,CAA20147514,CAA20147514,WAGON WHEEL FAMILY APTS,510 WINCHESTER DR,OXNARD,CA,CA-12-869,2014,2012,120,119,merge,duplicate_reporting_name_variant,merge_candidate_group,DEV_CAA20141097,CAA20141097
