singleton_identity_scope_review_id,review_type,current_development_id,current_hud_id,current_development_name,current_scope_status,n_review_group_members,final_identity_decision,member_action,adjudicated_development_id,adjudicated_anchor_hud_id,cluster_status,reviewed_development_name,final_reason_code,physical_property_members,identity_source_title,identity_source_type,identity_source_url,identity_source_statement,count_source_title,count_source_type,count_source_url,count_source_statement,source_assessment,final_scope_status,requires_episode_property_bridge,episode_to_property_bridge_status,geocoding_query_approval,development_name_correction_reason,development_name_correction_source,reviewed_on,review_status,source_rows_changed
SISR_CT_ECC_RAD_I,nonphysical_scope_exclusion,DEV_CTA0000X021,CTA0000X021,ECC GROUP I RAD,not_in_review,1,exclude_financing_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X021,CTA0000X021,nonphysical_financing_portfolio_requires_bridge,ECC GROUP I RAD,official_source_identifies_multi_property_rad_financing_group,"Prescott Bush, Constance B. Motley, Katherine Harvey Terrace, and Newhall Gardens",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group I as a portfolio of Prescott Bush, Constance B. Motley, Katherine Harvey Terrace, and Newhall Gardens, confirming a financing grouping across four physical properties.",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,The official report identifies the component properties in this portfolio; no portfolio total is applied to a physical development.,The source row is a nonphysical financing umbrella. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_CT_ECC_RAD_II,nonphysical_scope_exclusion,DEV_CTA0000X022,CTA0000X022,ECC GROUP II RAD,not_in_review,1,exclude_financing_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X022,CTA0000X022,nonphysical_financing_portfolio_requires_bridge,ECC GROUP II RAD,official_source_identifies_multi_property_rad_financing_group,"Fulton Park, Stanley Justice, and Waverly Townhouses",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group II as a portfolio of Fulton Park, Stanley Justice, and Waverly Townhouses, confirming a financing grouping across three physical properties.",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,The official report identifies the component properties in this portfolio; no portfolio total is applied to a physical development.,The source row is a nonphysical financing umbrella. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_CT_ECC_RAD_III,nonphysical_scope_exclusion,DEV_CTA0000X023,CTA0000X023,ECC GROUP III RAD,not_in_review,1,exclude_financing_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X023,CTA0000X023,nonphysical_financing_portfolio_requires_bridge,ECC GROUP III RAD,official_source_identifies_multi_property_rad_financing_group,Charles T. McQueeney and Winslow-Celentano,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group III as a portfolio of Charles T. McQueeney and Winslow-Celentano, confirming a financing grouping across two physical properties.",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,The official report identifies the component properties in this portfolio; no portfolio total is applied to a physical development.,The source row is a nonphysical financing umbrella. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_CT_ECC_RAD_IV,nonphysical_scope_exclusion,DEV_CTA0000X024,CTA0000X024,ECC RAD GROUP IV,not_in_review,1,exclude_financing_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X024,CTA0000X024,nonphysical_financing_portfolio_requires_bridge,ECC RAD GROUP IV,official_source_identifies_multi_property_rad_financing_group,Fairmont Heights and Matthew Ruoppolo Manor,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group IV as a portfolio of Fairmont Heights and Matthew Ruoppolo Manor, confirming a financing grouping across two physical properties.",Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,The official report identifies the component properties in this portfolio; no portfolio total is applied to a physical development.,The source row is a nonphysical financing umbrella. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_CT_CLAY_ARSENAL,nonphysical_scope_exclusion,DEV_CTA0000X014,CTA0000X014,CLAY ARSENAL APARTMENTS,not_in_review,1,exclude_scattered_site_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X014,CTA0000X014,nonphysical_financing_portfolio_requires_bridge,CLAY ARSENAL APARTMENTS,official_source_identifies_scattered_site_portfolio,Twenty-five scattered physical sites in Hartford,CHFA 2024 CGS 8-37bb Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2024_8-37bb_Report_--_Compressed_File.pdf,CHFA reports Clay Arsenal as a 150-unit scattered-site property covering 25 sites; the current two rows are not a complete property inventory.,CHFA 2024 CGS 8-37bb Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2024_8-37bb_Report_--_Compressed_File.pdf,CHFA reports 150 units across the portfolio; the value is not assigned to either current site.,The source row is a nonphysical scattered-site umbrella with an incomplete site inventory. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_CT_HARTFORD_PRESERVATION,nonphysical_scope_exclusion,DEV_CTA0000X026,CTA0000X026,ENFIELD MAGNOLIA (NKA HARTFORD PRESERVATION),not_in_review,1,exclude_financing_portfolio_preserve_episode_and_require_property_bridge,retain_nonphysical_episode_bridge,DEV_CTA0000X026,CTA0000X026,nonphysical_financing_portfolio_requires_bridge,HARTFORD PRESERVATION PORTFOLIO,official_source_identifies_five_property_preservation_portfolio,Five separate Hartford physical properties,CHFA 2021 Annual Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2021_Annual_Report.pdf,CHFA describes Hartford Preservation as five separate properties totaling 206 apartments; the current two rows are not a complete property inventory.,CHFA 2021 Annual Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2021_Annual_Report.pdf,CHFA reports 206 units across five properties; the value is not assigned to a physical development here.,The source row is a nonphysical portfolio with an incomplete site inventory. Unit counts are evidence only and are not applied.,nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_TX_SAVANNAHPARK,nonphysical_scope_exclusion,DEV_TXA00000075,TXA00000075,SAVANNAHPARK OF ALK,not_in_review,2,combine_duplicate_financing_records_as_nonphysical_three_property_bridge,merge_to_nonphysical_episode_bridge,DEV_TXA20157575,TXA20157575,nonphysical_financing_portfolio_requires_bridge,SAVANNAHPARK OF ALK,official_application_identifies_three_noncontiguous_properties,"1208 3rd Street, Abernathy; 121 5th Street, Lexington; 905 South Panna Maria Avenue, Karnes City","TDHCA Board Book, July 31 2014 Supplement",official_state_housing_agency,https://www.tdhca.texas.gov/sites/default/files/board/books/140731-supplement-140728.pdf,TDHCA application 14100 identifies one acquisition-rehabilitation financing across three noncontiguous properties in three cities.,"TDHCA Board Book, July 31 2014 Supplement",official_state_housing_agency,https://www.tdhca.texas.gov/sites/default/files/board/books/140731-supplement-140728.pdf,TDHCA reports 72 units across all three properties; the value is not assigned to any one physical property.,"The two records describe the same umbrella financing, not one physical property. Unit counts are evidence only and are not applied.",nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_TX_SAVANNAHPARK,nonphysical_scope_exclusion,DEV_TXA20157575,TXA20157575,SAVANNAHPARK OF ALK,not_in_review,2,combine_duplicate_financing_records_as_nonphysical_three_property_bridge,retain_nonphysical_episode_bridge,DEV_TXA20157575,TXA20157575,nonphysical_financing_portfolio_requires_bridge,SAVANNAHPARK OF ALK,official_application_identifies_three_noncontiguous_properties,"1208 3rd Street, Abernathy; 121 5th Street, Lexington; 905 South Panna Maria Avenue, Karnes City","TDHCA Board Book, July 31 2014 Supplement",official_state_housing_agency,https://www.tdhca.texas.gov/sites/default/files/board/books/140731-supplement-140728.pdf,TDHCA application 14100 identifies one acquisition-rehabilitation financing across three noncontiguous properties in three cities.,"TDHCA Board Book, July 31 2014 Supplement",official_state_housing_agency,https://www.tdhca.texas.gov/sites/default/files/board/books/140731-supplement-140728.pdf,TDHCA reports 72 units across all three properties; the value is not assigned to any one physical property.,"The two records describe the same umbrella financing, not one physical property. Unit counts are evidence only and are not applied.",nonphysical_financing_portfolio_requires_bridge,TRUE,required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_IN_TALL_OAKS,invalid_source_identity_exclusion,DEV_INA19990123,INA19990123,TALL OAKS,not_in_review,1,exclude_unresolved_bad_source_identity_preserve_episode,retain_nonphysical_excluded_source_row,DEV_INA19990123,INA19990123,nonphysical_unresolved_bad_source_identity_requires_recovery,TALL OAKS,listed_address_conflicts_with_documented_property_history,No recoverable physical property assignment from the present source row,IHCDA Winter 2016,official_state_housing_agency,https://www.in.gov/ihcda/files/IHCDA_winter_2016_WEB_FINAL.pdf,"IHCDA reports that the Culver Union Hospital property served as a hospital until 1984, remained vacant for 31 years, and was reused as Historic Whitlock in 2016, ruling out the HUD row's claimed 1999 Tall Oaks identity at this source address.",IHCDA Winter 2016,official_state_housing_agency,https://www.in.gov/ihcda/files/IHCDA_winter_2016_WEB_FINAL.pdf,The official source does not identify a Tall Oaks development-wide count; no numeric value is applied.,The source identity is unresolved and cannot be treated as a physical development. Unit counts are not applied.,nonphysical_unresolved_bad_source_identity_requires_recovery,FALSE,not_possible_source_identity_unresolved,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
SISR_NV_NORTH_SAMPLE,invalid_source_identity_exclusion,DEV_NVA00000178,NVA00000178,NORTH SAMPLE,not_in_review,1,exclude_invalid_synthetic_test_source_row_preserve_episode,retain_nonphysical_excluded_source_row,DEV_NVA00000178,NVA00000178,nonphysical_invalid_synthetic_test_source_row,NORTH SAMPLE,synthetic_name_address_and_zero_counts,No physical property; invalid test-style row,Exact-name and malformed-address web search: North Sample,documented_web_search_no_reliable_property_match,https://www.google.com/search?q=%22NORTH+SAMPLE%22+%22111111222222%22+Nevada+housing,"An exact-name and exact malformed-address search returned no public Nevada housing property match on 2026-08-11; together with the synthetic name, malformed numeric address, and zero counts, this supports exclusion as a test-style row rather than a physical property.",Exact-name and malformed-address web search: North Sample,documented_web_search_no_reliable_property_match,https://www.google.com/search?q=%22NORTH+SAMPLE%22+%22111111222222%22+Nevada+housing,"An exact-name and exact malformed-address search returned no public Nevada housing property match on 2026-08-11; together with the synthetic name, malformed numeric address, and zero counts, this supports exclusion as a test-style row rather than a physical property.","This is an invalid synthetic/test-style source row, not a physical development.",nonphysical_invalid_synthetic_test_source_row,FALSE,not_required,not_approved,not_applicable,not_applicable,2026-08-11,two_read_complete,FALSE
