development_id,development_name,development_city,n_units_development,screening_match_type,tdhca_candidate_address,review_disposition,second_read_provenance,second_read_source_file,second_read_source_url,second_read_source_retrieved_on,source_locator,source_statement,executed_search_url,executed_search_note,executed_search_on,independent_address_corroboration,site_application_action,review_status,geocoding_query_approval
DEV_TXA00000370,MAEGHAN POINTE,ELSA,80,exact_normalized_name,805 Maeghan Drive,address_correlated_candidate_not_applied,frozen_source,maeghan_pointe_tejas.html,https://www.tejashousing.com/maeghan-pointe/,2026-08-12,https://www.tejashousing.com/maeghan-pointe/,Owner-manager identifies Maeghan Pointe at 805 Maeghan Drive in Elsa and describes 80 units.,https://www.google.com/search?q=%22Maeghan+Pointe%22+Elsa+Texas,Executed exact-name and city search before reading the frozen owner-manager page.,2026-08-12,TRUE,not_applied,not_adjudicated,not_approved
DEV_TXA00000590,TIERRA POINTE,KARNES CITY,80,exact_normalized_name,1226 N Loop 17 Rd,conflicting_or_incomplete_physical_site_scope,frozen_source,tierra_pointe_merced.html,https://mercedhousingtexas.org/community/tierra-pointe-apartments/,2026-08-12,https://mercedhousingtexas.org/community/tierra-pointe-apartments/,Owner-manager identifies 80-unit Tierra Pointe at 1226 Texas Highway 123 rather than the inventory street label; no authoritative street-alias bridge was established.,https://www.google.com/search?q=%22Tierra+Pointe%22+%22Karnes+City%22,Executed exact-name city and candidate-address search; no authoritative street-alias bridge was preserved.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
DEV_TXA00000948,SUNRISE TERRACE,LA FERIA,70,exact_normalized_name,2400 N. Solis Road,address_correlated_candidate_not_applied,frozen_source,sunrise_terrace_manager.html,https://www.sunriseterraceapts.com/,2026-08-12,https://www.sunriseterraceapts.com/,Property-manager identifies Sunrise Terrace at 2400 North Solis Road in La Feria.,https://www.google.com/search?q=%22Sunrise+Terrace%22+%22La+Feria%22,Executed exact-name city and candidate-address search before reading the frozen property-manager page.,2026-08-12,TRUE,not_applied,not_adjudicated,not_approved
DEV_TXA20010095,HILLSBORO GARDENS,HILLSBORO,76,exact_normalized_name,807 Abbott Ave,address_correlated_candidate_not_applied,frozen_source,hillsboro_tdhca_board_2018.pdf,https://www.tdhca.texas.gov/sites/default/files/board/books/180906-book-180830.pdf,2026-08-12,https://www.tdhca.texas.gov/sites/default/files/board/books/180906-book-180830.pdf,State-board materials identify Hillsboro Gardens at 807 Abbott Avenue and separately call Phase II a distinct community; the source is TDHCA and therefore not independent of the inventory.,https://www.google.com/search?q=%22Hillsboro+Gardens%22+%22807+Abbott%22,Executed exact-name and candidate-address search; the preserved material is same-agency evidence only.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
DEV_TXA20010100,HILLSBORO GARDENS PHASE II,HILLSBORO,52,exact_normalized_name,807 Abbott Ave,conflicting_or_incomplete_physical_site_scope,frozen_source,hillsboro_tdhca_2000_log.pdf,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-9pct/00lihtclog.pdf,2026-08-12,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-9pct/00lihtclog.pdf,State materials separately name Phase II but its original location is the 800 block of South Abbott near Maxwell rather than a confirmed 807 Abbott address; same-address treatment is not established.,https://www.google.com/search?q=%22Hillsboro+Gardens+Phase+II%22+Hillsboro+TX,Executed exact-name city and candidate-address search; same-agency material does not settle the phase location.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
DEV_TXA20110816,GUADALUPE CROSSING,COMFORT,68,exact_normalized_name,580 Sunflower Lane,unresolved_no_qualifying_physical_site_corroboration,executed_search_no_qualifying_physical_site_corroboration,,, ,https://www.google.com/search?q=%22Guadalupe+Crossing%22+%22580+Sunflower%22,A Texas PUC search result appeared to list Guadalupe Crossing at 580 Sunflower but the retrieved page did not reproduce that record and the property-manager site was access-controlled; snippets were not used.,https://www.google.com/search?q=%22Guadalupe+Crossing%22+%22580+Sunflower%22,Executed search returned no preserved qualifying physical-site source byte.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
DEV_TXA20110839,PARK RIDGE APTS,LLANO,64,exact_normalized_name,100 Legend Hills Blvd,address_correlated_candidate_not_applied,frozen_source,park_ridge_txhf.html,https://txhf.org/communities/park-ridge/,2026-08-12,https://txhf.org/communities/park-ridge/,Owner-manager identifies Park Ridge Apartments at 100 Legend Hills Boulevard in Llano.,https://www.google.com/search?q=%22Park+Ridge%22+%22100+Legend+Hills%22,Executed exact-name city and candidate-address search before reading the frozen owner-manager page.,2026-08-12,TRUE,not_applied,not_adjudicated,not_approved
DEV_TXA20110852,FLORAL GARDENS,HOUSTON,100,exact_normalized_name,7950 1/2 S Sam Houston Pkwy W,address_correlated_candidate_not_applied,frozen_source,floral_gardens_manager.html,https://floralgardenapts.com/neighborhood/,2026-08-12,https://floralgardenapts.com/neighborhood/,Property-manager identifies Floral Gardens Senior Apartments at 7950 South Sam Houston Parkway West; the half-number variation is not used to change the address.,https://www.google.com/search?q=%22Floral+Gardens%22+%227950%22+Houston,Executed exact-name city and candidate-address search before reading the frozen property-manager page.,2026-08-12,TRUE,not_applied,not_adjudicated,not_approved
DEV_TXA20120802,VIKING ROAD APTS,AMARILLO,132,exact_normalized_name,6208 Ventura Dr,unresolved_no_qualifying_physical_site_corroboration,executed_search_no_qualifying_physical_site_corroboration,,, ,https://www.google.com/search?q=%22Viking+Road+Apartments%22+%226208+Ventura%22,A manager site and Texas PUC filing appeared in search results to associate successor Stone Canyon with 6208 Ventura but access controls and server errors prevented preservation of either source byte; snippets were not used.,https://www.google.com/search?q=%22Viking+Road+Apartments%22+%226208+Ventura%22,Executed search returned no preserved qualifying physical-site source byte.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
DEV_TXA20130855,JUSTICE PARK SENIOR VILLAS,HOUSTON,144,exact_normalized_name,1005 Cottonbowl,conflicting_or_incomplete_physical_site_scope,frozen_source,justice_park_houston_2024.pdf,https://www.houstontx.gov/citysec/agenda/2024/20241015.pdf,2026-08-12,https://www.houstontx.gov/citysec/agenda/2024/20241015.pdf,Two row-bound municipal-source claims in the evidence child ledger contradict the Cottonbowl candidate address.,https://www.google.com/search?q=%22Justice+Park+Senior+Villas%22+Houston,Executed exact-name city and candidate-address search before comparing the preserved city records.,2026-08-12,FALSE,not_applied,not_adjudicated,not_approved
